fastq_file	bc_1	bc_2	min_lib_bc	mean_lib_bc	max_lib_bc
GSF2346-F1-B2_S24_R1_001	655796	930197	1	1.0000730619862643	2
GSF2346-F3-A1_S33_R1_001	1207948	1076667	1	1.000070297189543	2
GSF2346-F1-A2_S22_R1_001	812715	1226899	1	1.0000777716981888	2
GSF2346-F3-C1_S37_R1_001	1093126	693595	1	1.0000792077545966	2
GSF2346-F3-A2_S34_R1_001	539358	602571	1	1.0000678373375071	2
GSF2346-F2-A1_S27_R1_001	1460722	668490	1	1.0000587034741864	2
GSF2346-F3-B2_S36_R1_001	928215	692197	1	1.0000737492020106	2
GSF2346-F3-C2_S38_R1_001	796459	656407	1	1.0000741402655782	3
GSF2346-F2-C1_S31_R1_001	1730613	568824	1	1.0000714397976824	2
GSF2346-F2-B2_S30_R1_001	1613187	770693	1	1.0000750902754163	2
GSF2346-F1-C2_S26_R1_001	1206339	1571521	1	1.000064843445516	2
GSF2346-F2-A2_S28_R1_001	1112457	491082	1	1.0000872178444198	2
GSF2346-F1-C1_S25_R1_001	776739	968624	1	1.0000778482316288	2
GSF2346-F2-C2_S32_R1_001	1321403	374214	1	1.000076156847529	2
GSF2346-F2-B1_S29_R1_001	1060574	589831	1	1.0000734853055024	2
GSF2346-F1-B1_S23_R1_001	959147	1486335	1	1.0000607729075153	2
GSF2346-F1-A1_S21_R1_001	934685	1322645	1	1.0000591098965368	2
GSF2346-F3-B1_S35_R1_001	931117	1118080	1	1.000068790365286	2
